"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1835505","43b89dd5fc49e46c8a9d76e8004d586c3c2c2239f0b7c96b1302a68d344df90408fe54f0f8b1b14038d7e4a8673c93bb472748c2e932b02181b462af7cc95148","2024-06-05T16:00:00.000","1","DRIVER",,"1748434",,"PONTIAC","G6","IL","2006","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835506","43b89dd5fc49e46c8a9d76e8004d586c3c2c2239f0b7c96b1302a68d344df90408fe54f0f8b1b14038d7e4a8673c93bb472748c2e932b02181b462af7cc95148","2024-06-05T16:00:00.000","2","DRIVER","1","1748450",,"NISSAN","SENTRA","IL","2019","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"2",,,,,,,,,,"Y",,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835603","6231d0e0c2a537289f682544d7fa6837ad9ec1d6d64a2dfa81493fc2fb75c03e48041bea22d9ed16ef919df45087c1c394df5e911d5cc4e3e3255b19630ec662","2024-06-05T16:00:00.000","1","DRIVER",,"1748609",,"MINI","COOPER","IL","2008","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,"Y","Y","Y","Y","Y",,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835604","6231d0e0c2a537289f682544d7fa6837ad9ec1d6d64a2dfa81493fc2fb75c03e48041bea22d9ed16ef919df45087c1c394df5e911d5cc4e3e3255b19630ec662","2024-06-05T16:00:00.000","2","DRIVER",,"1748559",,"HONDA","HR-V","IL","2019","NONE","OTHER","PERSONAL","S","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,,,"Y","Y","Y","Y","Y",,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835595","9c039c7cb26d8e051c7b733684af2f05642cde5ef11f7e4a4c8edd0093945ca2c7d8e0d8ed75a99d7f6996551566d5941d64ebb5b8bd27ba72d70b6f44846c2d","2024-06-05T16:00:00.000","1","DRIVER",,"1748523",,"HYUNDAI","SANTA FE","IL","2009","NONE","SPORT UTILITY VEHICLE (SUV)","UNKNOWN/NA","UNKNOWN","BACKING",,,"1",,,,,,,,,,,"Y",,,,,,,"REAR-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835596","9c039c7cb26d8e051c7b733684af2f05642cde5ef11f7e4a4c8edd0093945ca2c7d8e0d8ed75a99d7f6996551566d5941d64ebb5b8bd27ba72d70b6f44846c2d","2024-06-05T16:00:00.000","2","PARKED",,"1748525",,"FORD","OTHER (EXPLAIN IN NARRATIVE)","IL","2020","UNKNOWN","PICKUP","UNKNOWN/NA","UNKNOWN","PARKED",,,"0",,,,,,,,,,,,,,,,,"Y","REAR-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835493","a0384c5af452dfd58075827164ffb0baa98886cc5169968298ce57a5c1df0f1fcec8fb36b0da10188bbf1cf201ae62db47ed8b9ad5dbcbfcd983aa6b2c138eb4","2024-06-05T16:00:00.000","1","DRIVER",,"1748421",,"FORD","F250","IL","2014","NONE","TRUCK - SINGLE UNIT","UNKNOWN/NA","W","STRAIGHT AHEAD",,,"1",,,,"Y",,,,,,,,,,,,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835494","a0384c5af452dfd58075827164ffb0baa98886cc5169968298ce57a5c1df0f1fcec8fb36b0da10188bbf1cf201ae62db47ed8b9ad5dbcbfcd983aa6b2c138eb4","2024-06-05T16:00:00.000","2","DRIVER","1","1748426",,"LINCOLN","NAUTILUS","IL","2019","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","S","STRAIGHT AHEAD",,,"2",,,,,,,,,,,,,,"Y","Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835453","cf04617e6d3e4d1bfaa5d94235066360e693537066a8a82a22c70c1da739bfe62a6af6aeea6604dcaad68603506f27cc581115c86162214bd8e17b1e9602e027","2024-06-05T16:00:00.000","1","DRIVER",,"1748380",,"LEXUS","NX","IL","2018","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","N","CHANGING LANES",,,"1",,,,,"Y",,,,,,,,,,,,,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835454","cf04617e6d3e4d1bfaa5d94235066360e693537066a8a82a22c70c1da739bfe62a6af6aeea6604dcaad68603506f27cc581115c86162214bd8e17b1e9602e027","2024-06-05T16:00:00.000","2","DRIVER",,"1748383",,"CHEVROLET","MALIBU","IL","2007","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,"Y","Y",,,,,,"SIDE-LEFT-REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835599","d75968b8203a97053161377c8afaded4a181cef7bee043c7c4ecc99fe521cfcc4ae0e184e63a6ae89d226b758733a53022ad174dd3778ae11c04d0c65a511ccb","2024-06-05T16:00:00.000","1","DRIVER",,"1748526",,"TOYOTA","PRIUS","IL","2012","UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","E","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835600","d75968b8203a97053161377c8afaded4a181cef7bee043c7c4ecc99fe521cfcc4ae0e184e63a6ae89d226b758733a53022ad174dd3778ae11c04d0c65a511ccb","2024-06-05T16:00:00.000","2","PARKED","2","1748533",,"TOYOTA","HIGHLANDER","IL","2005","UNKNOWN","PASSENGER","NOT IN USE","E","PARKED",,,"2",,,,,,,,,,"Y",,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835434","e6c33b270b28dd600f2c818a95df08ada8bd78212d741ba882a15eee9d1126e12b1a477a314f605c69312560649f05ba0eb8d6d7c1b00857b660619ba993f782","2024-06-05T16:00:00.000","1","DRIVER",,"1748358",,"NISSAN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"Y","Y","FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
